iter	Passed	Remaining
452	1088	1314
453	1091	1312
454	1093	1309
455	1095	1307
456	1103	1311
457	1106	1309
458	1108	1306
459	1110	1303
460	1118	1308
461	1120	1305
462	1123	1303
463	1126	1301
464	1128	1298
465	1134	1299
466	1138	1299
467	1141	1297
468	1143	1295
469	1148	1295
470	1151	1293
471	1153	1290
472	1155	1287
473	1158	1285
474	1171	1295
475	1175	1293
476	1181	1295
477	1184	1293
478	1186	1291
479	1189	1288
480	1193	1287
481	1196	1285
482	1198	1282
483	1200	1280
484	1203	1277
485	1205	1274
486	1211	1275
487	1213	1273
488	1215	1270
489	1217	1267
490	1219	1264
491	1221	1261
492	1226	1260
493	1228	1258
494	1230	1255
495	1233	1253
496	1235	1250
497	1241	1251
498	1245	1250
499	1247	1247
500	1259	1254
501	1261	1251
502	1263	1248
503	1265	1245
504	1267	1242
505	1273	1243
506	1276	1240
507	1282	1241
508	1286	1240
509	1288	1238
510	1292	1236
511	1295	1234
512	1298	1233
513	1303	1232
514	1307	1231
515	1310	1229
516	1313	1227
517	1324	1232
518	1327	1230
519	1335	1233
520	1337	1229
521	1339	1226
522	1341	1223
523	1343	1220
524	1352	1223
525	1355	1221
526	1358	1219
527	1363	1219
528	1369	1219
529	1372	1216
530	1374	1213
531	1383	1216
532	1386	1215
533	1389	1212
534	1392	1209
535	1399	1211
536	1402	1209
537	1405	1207
538	1413	1209
539	1418	1207
540	1430	1213
541	1434	1212
542	1436	1209
543	1439	1206
544	1445	1206
545	1447	1203
546	1450	1201
547	1452	1198
548	1460	1199
549	1464	1198
550	1466	1195
551	1468	1192
552	1472	1190
553	1476	1188
554	1480	1186
555	1482	1184
556	1485	1181
557	1491	1181
558	1493	1178
559	1496	1175
560	1498	1172
561	1501	1169
562	1508	1170
563	1510	1167
564	1513	1165
565	1515	1162
566	1521	1162
567	1525	1159
568	1527	1157
569	1530	1154
570	1532	1151
571	1537	1150
572	1539	1146
573	1540	1143
574	1542	1140
575	1543	1136
576	1545	1132
577	1547	1129
578	1551	1128
579	1554	1125
580	1556	1122
581	1557	1118
582	1559	1115
583	1561	1112
584	1563	1109
585	1566	1106
586	1569	1104
587	1571	1101
588	1574	1098
589	1580	1098
590	1582	1095
591	1584	1092
592	1586	1089
593	1588	1086
594	1590	1082
595	1596	1082
596	1598	1079
597	1600	1076
598	1602	1072
599	1604	1069
600	1607	1066
601	1613	1066
602	1615	1063
603	1618	1060
604	1620	1057
605	1624	1056
606	1628	1054
607	1630	1051
608	1632	1048
609	1634	1045
610	1636	1041
611	1638	1038
612	1644	1037
613	1645	1034
614	1647	1031
615	1649	1028
616	1651	1024
617	1653	1021
618	1657	1020
619	1659	1017
620	1663	1014
621	1665	1012
622	1668	1009
623	1672	1007
624	1674	1004
625	1676	1001
626	1678	998
627	1679	995
628	1681	991
629	1683	988
630	1687	986
631	1689	983
632	1691	980
633	1692	977
634	1694	974
635	1696	970
636	1697	967
637	1703	966
638	1705	963
639	1706	960
640	1708	956
641	1710	953
642	1712	950
643	1720	951
644	1721	947
645	1723	944
646	1724	940
647	1726	937
648	1727	934
649	1728	930
650	1733	929
651	1735	926
652	1736	922
653	1738	919
654	1739	916
655	1740	912
656	1742	909
657	1743	906
658	1747	904
659	1749	901
660	1751	898
661	1752	894
662	1754	891
663	1755	888
664	1757	885
665	1758	881
666	1762	879
667	1763	876
668	1765	873
669	1767	870
670	1768	867
671	1770	864
672	1772	861
673	1774	858
674	1777	855
675	1779	852
676	1780	849
677	1782	846
678	1784	843
679	1785	840
680	1787	837
681	1791	835
682	1793	832
683	1795	829
684	1797	826
685	1799	823
686	1801	820
687	1802	817
688	1807	815
689	1809	812
690	1810	809
691	1812	806
692	1814	803
693	1816	800
694	1818	797
695	1822	796
696	1825	793
697	1826	790
698	1828	787
699	1829	784
700	1830	780
701	1832	777
702	1833	774
703	1837	772
704	1839	769
705	1840	766
706	1842	763
707	1843	760
708	1844	757
709	1846	754
710	1847	751
711	1849	747
712	1853	745
713	1854	742
714	1855	739
715	1857	736
716	1858	733
717	1860	730
718	1861	727
719	1862	724
720	1864	721
721	1867	719
722	1868	716
723	1870	712
724	1871	709
725	1873	706
726	1874	703
727	1875	700
728	1877	697
729	1880	695
730	1881	692
731	1882	689
732	1884	686
733	1886	683
734	1887	680
735	1889	677
736	1890	674
737	1894	672
738	1896	669
739	1898	667
740	1900	664
741	1902	661
742	1903	658
743	1904	655
744	1914	655
745	1916	652
746	1917	649
747	1918	646
748	1920	643
749	1924	641
750	1926	638
751	1928	635
752	1930	633
753	1932	630
754	1934	627
755	1935	624
756	1938	622
757	1940	619
758	1942	616
759	1944	613
760	1945	611
761	1946	608
762	1948	605
763	1950	602
764	1956	601
765	1958	598
766	1960	595
767	1962	592
768	1964	590
769	1968	588
770	1971	585
771	1973	582
772	1975	580
773	1977	577
774	1978	574
775	1980	571
776	1981	568
777	1986	566
778	1987	563
779	1989	561
780	1990	558
781	1992	555
782	1993	552
783	1994	549
784	1996	546
785	2000	544
786	2002	542
787	2004	539
788	2006	536
789	2008	533
790	2009	531
791	2011	528
792	2015	526
793	2017	523
794	2018	520
795	2020	517
796	2021	514
797	2022	512
798	2024	509
799	2025	506
800	2027	503
801	2031	501
802	2032	498
803	2034	495
804	2035	493
805	2036	490
806	2038	487
807	2040	484
808	2041	481
809	2045	479
810	2046	477
811	2048	474
812	2049	471
813	2051	468
814	2052	465
815	2054	463
816	2055	460
817	2059	458
818	2060	455
819	2062	452
820	2063	449
821	2065	447
822	2066	444
823	2068	441
824	2069	439
825	2071	436
826	2077	434
827	2078	431
828	2080	429
829	2081	426
830	2083	423
831	2084	420
832	2085	418
833	2090	416
834	2092	413
835	2093	410
836	2095	408
837	2097	405
838	2098	402
839	2100	400
840	2103	397
841	2106	395
842	2107	392
843	2108	389
844	2110	387
845	2111	384
846	2113	381
847	2114	378
848	2115	376
849	2119	374
850	2120	371
851	2122	368
852	2124	366
853	2125	363
854	2126	360
855	2128	358
856	2129	355
857	2131	352
858	2136	350
859	2137	348
860	2139	345
861	2140	342
862	2141	340
863	2143	337
864	2144	334
865	2146	332
866	2150	329
867	2152	327
868	2153	324
869	2154	321
870	2156	319
871	2157	316
872	2159	314
873	2160	311
874	2164	309
875	2166	306
876	2168	304
877	2174	302
878	2176	299
879	2181	297
880	2183	294
881	2186	292
882	2225	294
883	2230	292
884	2232	290
885	2234	287
886	2236	284
887	2237	282
888	2240	279
889	2246	277
890	2248	275
891	2253	272
892	2255	270
893	2257	267
894	2291	268
895	2293	266
896	2295	263
897	2297	260
898	2299	258
899	2301	255
900	2306	253
901	2309	250
902	2311	248
903	2313	245
904	2315	243
905	2317	240
906	2321	238
907	2363	239
908	2365	236
909	2367	234
910	2371	231
911	2373	229
912	2375	226
913	2377	223
914	2379	221
915	2380	218
916	2382	215
917	2387	213
918	2389	210
919	2391	207
920	2394	205
921	2395	202
922	2398	200
923	2400	197
924	2402	194
925	2404	192
926	2406	189
927	2411	187
928	2413	184
929	2416	181
930	2418	179
931	2420	176
932	2422	173
933	2424	171
934	2431	169
935	2437	166
936	2439	164
937	2441	161
938	2446	158
939	2448	156
940	2449	153
941	2452	150
942	2453	148
943	2455	145
944	2456	142
945	2460	140
946	2462	137
947	2464	135
948	2465	132
949	2467	129
950	2469	127
951	2470	124
952	2472	121
953	2475	119
954	2477	116
955	2478	114
956	2480	111
957	2481	108
958	2483	106
959	2484	103
960	2485	100
961	2487	98
962	2491	95
963	2492	93
964	2494	90
965	2495	87
966	2497	85
967	2499	82
968	2500	79
969	2501	77
970	2505	74
971	2507	72
972	2508	69
973	2510	67
974	2511	64
975	2513	61
976	2514	59
977	2516	56
978	2517	54
979	2521	51
980	2523	48
981	2524	46
982	2526	43
983	2527	41
984	2529	38
985	2530	35
986	2531	33
987	2535	30
988	2537	28
989	2538	25
990	2540	23
991	2541	20
992	2543	17
993	2544	15
994	2546	12
995	2547	10
996	2551	7
997	2553	5
998	2554	2
999	2556	0
